Geographic Area Name,Median Income
ZCTA5 01844,103292
ZCTA5 01845,134319
ZCTA5 01850,67581
ZCTA5 01851,87962
ZCTA5 01852,77058
ZCTA5 01854,70397
ZCTA5 01860,116477
ZCTA5 01862,131214
ZCTA5 01863,136284
ZCTA5 01864,150820
ZCTA5 01867,163407
ZCTA5 01876,126795
ZCTA5 01879,144167
ZCTA5 01880,130419
ZCTA5 01886,181523
ZCTA5 01887,161473
ZCTA5 01890,218176
ZCTA5 01901,27561
ZCTA5 01902,66755
ZCTA5 01904,100597
ZCTA5 01905,84341
ZCTA5 01906,100819
ZCTA5 01907,127714
ZCTA5 01908,111004
ZCTA5 01913,100599
ZCTA5 01915,102347
ZCTA5 01921,190526
ZCTA5 01922,179896
ZCTA5 01923,117072
ZCTA5 01929,151509
ZCTA5 01930,87898
ZCTA5 01937,
ZCTA5 01938,124405
ZCTA5 01940,171044
ZCTA5 01944,197875
ZCTA5 01945,164325
ZCTA5 01949,171458
ZCTA5 01950,144259
ZCTA5 01951,175779
ZCTA5 01952,102521
ZCTA5 01960,95173
ZCTA5 01965,"250,000+"
ZCTA5 01966,93227
ZCTA5 01969,117177
ZCTA5 01970,85189
ZCTA5 01982,127137
ZCTA5 01983,176698
ZCTA5 01984,187652
ZCTA5 01985,189048
ZCTA5 02019,120966
ZCTA5 02021,128341
ZCTA5 02025,187060
ZCTA5 02026,124375
ZCTA5 02030,"250,000+"
ZCTA5 02032,180100
ZCTA5 02035,108559
ZCTA5 02038,142788
ZCTA5 02043,181017
ZCTA5 02045,127112
ZCTA5 02047,151000
ZCTA5 02048,131409
ZCTA5 02050,125436
ZCTA5 02052,214801
ZCTA5 02053,174357
ZCTA5 02054,149021
ZCTA5 02056,197379
ZCTA5 02061,182637
ZCTA5 02062,97110
ZCTA5 02066,131889
ZCTA5 02067,183724
ZCTA5 02071,207878
ZCTA5 02072,104164
ZCTA5 02081,150233
ZCTA5 02090,205000
ZCTA5 02093,147930
ZCTA5 02108,212664
ZCTA5 02109,177500
ZCTA5 02110,132239
ZCTA5 02111,70865
ZCTA5 02113,110321
ZCTA5 02114,135057
ZCTA5 02115,53398
ZCTA5 02116,127309
ZCTA5 02118,90142
ZCTA5 02119,43255
ZCTA5 02120,61472
ZCTA5 02121,38565
ZCTA5 02122,82945
ZCTA5 02124,79168
ZCTA5 02125,71810
ZCTA5 02126,67206
ZCTA5 02127,156373
ZCTA5 02128,92079
ZCTA5 02129,157192
ZCTA5 02130,130533
ZCTA5 02131,109237
ZCTA5 02132,139545
ZCTA5 02133,
ZCTA5 02134,75317
ZCTA5 02135,88208
ZCTA5 02136,96862
ZCTA5 02138,122040
ZCTA5 02139,124648
ZCTA5 02140,136382
ZCTA5 02141,120542
ZCTA5 02142,168788
ZCTA5 02143,126102
ZCTA5 02144,140591
ZCTA5 02145,119167
ZCTA5 02148,95298
ZCTA5 02149,79658
ZCTA5 02150,72122
ZCTA5 02151,80948
ZCTA5 02152,106357
ZCTA5 02155,118403
ZCTA5 02163,74028
ZCTA5 02169,92080
ZCTA5 02170,101840
ZCTA5 02171,104992
ZCTA5 02176,126854
ZCTA5 02180,112635
ZCTA5 02184,125305
ZCTA5 02186,177222
ZCTA5 02188,102236
ZCTA5 02189,91842
ZCTA5 02190,99024
ZCTA5 02191,116496
ZCTA5 02199,118367
ZCTA5 02203,
ZCTA5 02205,
ZCTA5 02210,178833
ZCTA5 02215,65827
ZCTA5 02301,72727
ZCTA5 02302,87560
ZCTA5 02322,129487
ZCTA5 02324,112445
ZCTA5 02325,
ZCTA5 02330,78955
ZCTA5 02332,171471
ZCTA5 02333,128679
ZCTA5 02338,106851
ZCTA5 02339,174821
ZCTA5 02341,112457
ZCTA5 02343,107198
ZCTA5 02346,91914
ZCTA5 02347,126182
ZCTA5 02350,86023
ZCTA5 02351,119787
ZCTA5 02356,124719
ZCTA5 02357,
ZCTA5 02359,141332
ZCTA5 02360,111975
ZCTA5 02364,115863
ZCTA5 02366,
ZCTA5 02367,119750
ZCTA5 02368,103321
ZCTA5 02370,101475
ZCTA5 02375,117717
ZCTA5 02379,124483
ZCTA5 02382,107794
ZCTA5 02420,233068
ZCTA5 02421,212843
ZCTA5 02445,145878
ZCTA5 02446,127519
ZCTA5 02451,119509
ZCTA5 02452,112902
ZCTA5 02453,114029
ZCTA5 02457,
ZCTA5 02458,151782
ZCTA5 02459,214941
ZCTA5 02460,154329
ZCTA5 02461,207292
ZCTA5 02462,210682
ZCTA5 02464,125846
ZCTA5 02465,174518
ZCTA5 02466,170852
ZCTA5 02467,173854
ZCTA5 02468,"250,000+"
ZCTA5 02472,123383
ZCTA5 02474,139199
ZCTA5 02476,145150
ZCTA5 02478,177790
ZCTA5 02481,"250,000+"
ZCTA5 02482,240069
ZCTA5 02492,222063
ZCTA5 02493,"250,000+"
ZCTA5 02494,173750
ZCTA5 02532,89411
ZCTA5 02534,171169
ZCTA5 02535,144833
ZCTA5 02536,95295
ZCTA5 02537,131150
ZCTA5 02538,110882
ZCTA5 02539,89710
ZCTA5 02540,88266
ZCTA5 02542,55000
ZCTA5 02543,73611
ZCTA5 02553,
ZCTA5 02554,125524
ZCTA5 02556,133929
ZCTA5 02557,95287
ZCTA5 02558,58594
ZCTA5 02559,88698
ZCTA5 02561,
ZCTA5 02562,141324
ZCTA5 02563,117558
ZCTA5 02564,
ZCTA5 02568,93615
ZCTA5 02571,87302
ZCTA5 02575,181304
ZCTA5 02576,61735
ZCTA5 02584,
ZCTA5 02601,62989
ZCTA5 02630,137875
ZCTA5 02631,93427
ZCTA5 02632,121295
ZCTA5 02633,94036
ZCTA5 02635,118295
ZCTA5 02637,218165
ZCTA5 02638,117619
ZCTA5 02639,64051
ZCTA5 02641,
ZCTA5 02642,72683
ZCTA5 02643,
ZCTA5 02644,105000
ZCTA5 02645,89898
ZCTA5 02646,74276
ZCTA5 02647,
ZCTA5 02648,131125
ZCTA5 02649,95852
ZCTA5 02650,65982
ZCTA5 02652,
ZCTA5 02653,98798
ZCTA5 02655,100927
ZCTA5 02657,104500
ZCTA5 02659,87368
ZCTA5 02660,91449
ZCTA5 02663,
ZCTA5 02664,78796
ZCTA5 02666,111344
ZCTA5 02667,115469
ZCTA5 02668,108042
ZCTA5 02670,89875
ZCTA5 02671,101917
ZCTA5 02672,
ZCTA5 02673,73846
ZCTA5 02675,111555
ZCTA5 02702,145324
ZCTA5 02703,93352
ZCTA5 02713,78750
ZCTA5 02715,137500
ZCTA5 02717,143281
ZCTA5 02718,107570
ZCTA5 02719,92500
ZCTA5 02720,62907
ZCTA5 02721,50666
ZCTA5 02723,41789
ZCTA5 02724,49809
ZCTA5 02725,127228
ZCTA5 02726,110427
ZCTA5 02738,120227
ZCTA5 02739,117308
ZCTA5 02740,54563
ZCTA5 02743,90683
ZCTA5 02744,54841
ZCTA5 02745,73154
ZCTA5 02746,41023
ZCTA5 02747,97665
ZCTA5 02748,105455
ZCTA5 02760,109350
ZCTA5 02762,95625
ZCTA5 02763,109970
ZCTA5 02764,140135
ZCTA5 02766,127404
ZCTA5 02767,119550
ZCTA5 02769,126161
ZCTA5 02770,119164
ZCTA5 02771,116310
ZCTA5 02777,116627
ZCTA5 02779,123877
ZCTA5 02780,75054
ZCTA5 02790,100617
